cycles,duration_us,peak_apex_height_um,peak_during_burst_um,apex_at_burst_end_um,peak_time_us,peak_delay_after_burst_us,peak_is_window_clipped,peak_positive_mound_volume_pl,within_reduced_model_validity
180.0,18.0,4.883339005492672,0.447203404703389,0.447203404703389,189.79999999999998,171.79999999999998,False,1087.4381602807032,False
185.0,18.5,5.023694109616941,0.47773554524106365,0.4675941480886394,190.2,171.7,False,1118.8874103798566,False
190.0,19.0,5.164034850137749,0.49881557814193483,0.49881557814193483,190.4,171.4,False,1150.5686994819735,False
195.0,19.5,5.304359853036224,0.5310071512723633,0.5203129814061005,190.6,171.1,False,1182.040186753838,False
200.0,20.0,5.444668583921621,0.5531916038069257,0.5531916038069257,190.99999999999997,170.99999999999997,False,1213.7546563166343,False
205.0,20.5,5.584963406277259,0.587036957774916,0.587036957774916,191.2,170.7,False,1245.2481471599303,False
210.0,21.0,5.7252408657979394,0.6103220051818694,0.6103220051818694,191.39999999999998,170.4,False,1276.9954472010395,False
215.0,21.5,5.8655008327500555,0.6458153171940625,0.6458153171940625,191.6,170.1,False,1308.5107085762388,False
220.0,22.0,6.005744750256943,0.6701970203898694,0.6701970203898694,192.0,170.0,False,1340.2904899634252,False
225.0,22.5,6.14597138536087,0.7073322958406055,0.7073322958406055,192.2,169.7,False,1371.8272894026722,False
230.0,23.0,6.286178860815337,0.732806601048203,0.732806601048203,192.39999999999998,169.4,False,1403.639203868518,False
235.0,23.5,6.426368264785839,0.771577673177852,0.7586919371198277,192.8,169.29999999999998,False,1435.197309485399,False
240.0,24.0,6.566540056752254,0.798140411841009,0.798140411841009,193.0,169.0,False,1467.0410096418962,False
245.0,24.5,6.706691797284777,0.8385409418179465,0.8251124818416133,193.2,168.7,False,1498.6322846412008,False
250.0,25.0,6.846822605490041,0.8661878307943705,0.8661878307943705,193.6,168.59999999999997,False,1530.6094817667645,False
255.0,25.5,6.986936329730941,0.9082113082088057,0.9082113082088057,193.79999999999998,168.3,False,1562.2562197065324,False
260.0,26.0,7.127028277295424,0.9369379502332076,0.9369379502332076,194.0,168.0,False,1594.2715938739957,False
265.0,26.5,7.267098405845901,0.9805776939883374,0.9805776939883374,194.20000000000002,167.70000000000002,False,1625.9436648019876,False
270.0,27.0,7.407148850111499,1.0103795783949345,1.0103795783949345,194.6,167.6,False,1657.9968610603255,False
275.0,27.5,7.547177818461588,1.0556287379784641,1.0556287379784641,194.79999999999998,167.3,False,1689.6940285539645,False
280.0,28.0,7.687183200038054,1.0865012416708517,1.0865012416708517,195.0,167.0,False,1721.7846925909255,False
285.0,28.5,7.827167177492379,1.133352798787715,1.133352798787715,195.39999999999998,166.89999999999998,False,1753.5067206590306,False
290.0,29.0,7.967129056909941,1.1652911874426843,1.1652911874426843,195.6,166.6,False,1785.634498817805,False
295.0,29.5,8.107066544119123,1.2137379579879326,1.1976297306545625,195.79999999999998,166.29999999999998,False,1817.3811519117094,False
300.0,30.0,8.246979958795432,1.2467373874786316,1.2467373874786316,196.2,166.2,False,1849.5456912074023,False
