time_us,centre_radiation_stress_pa,apex_dynamic_elevation_um,apex_velocity_m_s,positive_mound_volume_pl,volume_residual_fl,mechanical_energy_pj
200.4,0.0,4.036313253246391,-0.001288315046180825,373.42821018189403,1.031583893717491e-10,3.1076502111758284
200.5,0.0,4.0361835463146765,-0.001305823588087052,373.5940841839869,3.717419436819787e-11,3.10742238842862
200.6,0.0,4.036052089539894,-0.0013233119076043146,373.7598873465875,8.550064704685511e-11,3.107194457273337
200.7,0.0,4.0359188849445635,-0.001340779998987992,373.92561961145697,4.3989463335700816e-11,3.1069664176054625
200.8,0.0,4.035783934551789,-0.0013582278565355205,374.0912809203948,3.1288280259899875e-11,3.10673826932166
200.9,0.0,4.035647240385232,-0.001375655474586372,374.256871215239,4.18209686642226e-11,3.1065100123197738
200.99999999999997,0.0,4.035508804469126,-0.0013930628475220031,374.4223904378655,7.744623826707889e-11,3.1062816464988283
201.1,0.0,4.035368628828262,-0.0014104499697658501,374.5878385301886,6.784290472196112e-11,3.1060531717590205
201.2,0.0,4.035226715487987,-0.0014278168357832852,374.75321543416186,2.4473011292396934e-11,3.105824588001725
201.29999999999998,0.0,4.035083066474192,-0.0014451634400815794,374.91852109177677,1.0068010974720256e-10,3.105595895129483
201.39999999999998,0.0,4.034937683813326,-0.001462489777209883,375.08375544506384,6.009828089525323e-11,3.1053670930460084
201.5,0.0,4.034790569532379,-0.0014797958417591846,375.24891843609265,1.0749537871470552e-10,3.1051381816561796
201.6,0.0,4.034641725658874,-0.00149708162836228,375.41401000697164,7.279946397105417e-11,3.1049091608660406
201.7,0.0,4.034491154220872,-0.001514347131693743,375.579030099848,5.978849594218491e-11,3.104680030582797
201.8,0.0,4.034338857246962,-0.0015315923464698982,375.7439786569088,5.669064641150175e-11,3.1044507907148127
201.9,0.0,4.034184836766266,-0.0015488172674487702,375.9088556203797,5.452215174002354e-11,3.1042214411716116
202.0,0.0,4.034029094808423,-0.0015660218894300673,376.073660932526,1.3010968028869256e-11,3.1039919818638713
202.09999999999997,0.0,4.033871633403588,-0.0015832062072551414,376.2383945356529,6.505484014434627e-11,3.103762412703422
202.2,0.0,4.033712454582433,-0.0016003702158069537,376.4030563721044,7.063096929957595e-11,3.103532733603246
202.29999999999998,0.0,4.03355156037614,-0.0016175139100100425,376.56764638426495,9.882140002879268e-11,3.103302944477472
