dmso_volume_percent,dmso_mole_fraction,density_kg_m3,sound_speed_m_s,dynamic_viscosity_mpa_s,surface_tension_mn_m,surface_tension_temperature_extrapolated,half_wavelength_um,liquid_cavity_round_trip_us,focus_after_pp_mm,focus_below_meniscus_mm,focus_scan_boundary_limited,incident_peak_pressure_at_meniscus_mpa,focal_intensity_fwhm_diameter_mm,peak_apex_height_um,peak_apex_height_fixed_80pct_transport_um,transport_property_effect_percent,peak_during_burst_um,apex_at_burst_end_um,peak_time_us,peak_delay_after_burst_us,peak_is_window_clipped,peak_positive_mound_volume_pl,within_reduced_model_validity,peak_apex_height_relative_to_nearest_80pct
80.0,0.5037752945507478,1100.9878219368031,1631.9958165935382,3.692612001526553,48.69850470016735,True,81.5997908296769,5.171581884086441,4.1644861215845905,0.05551387841540908,False,1.0,0.3050186269231162,4.040923857782682,4.040923857782682,0.0,0.30904052699077306,0.30904052699077306,188.4,173.39999999999998,False,898.3849049647204,False,1.0
81.0,0.5196941256892575,1101.0950227949768,1626.0821026984224,3.633165566676667,48.28022016447328,True,81.30410513492112,5.190389824716806,4.177773087001378,0.04222691299862226,False,0.9978617194036747,0.30474358054316814,4.072298798370709,4.049421434756159,0.5649538825026612,0.31019117676518515,0.31019117676518515,188.79999999999998,173.79999999999998,False,902.8976382377524,False,1.0077642988812077
82.0,0.536225065941131,1101.2063457285512,1619.9409953384518,3.557553445487795,47.8458517986255,True,80.9970497669226,5.210066307530321,4.200509150464004,0.01949084953599585,False,0.9955642559593443,0.30447596966549656,4.106639491086138,4.05781313280861,1.2032677868468955,0.31134125602079565,0.31134125602079565,189.4,174.39999999999998,False,907.9413437212611,False,1.0162625269904284
83.0,0.5534041125133384,1101.3220331505186,1613.5591218494403,3.4798695284597354,47.394453737009066,True,80.67795609247202,5.23067291784523,4.220409183156123,-0.0004091831561237741,False,0.9932071602070871,0.30412118624093865,4.14227558125266,4.066056992591409,1.8745086160898872,0.31263665217335673,0.31263665217335673,189.99999999999997,174.99999999999997,False,912.9648093184634,False,1.025081324725973
84.0,0.5712701416379485,1101.4423468618488,1606.9220400332285,3.400877980538137,46.925004464505264,True,80.34610200166142,5.252277204328763,4.246589093093034,-0.026589093093033755,False,0.9904244300951925,0.3039171452601091,4.178666793168868,4.073612461284318,2.5788985300636336,0.31362600814480507,0.31362600814480507,190.8,175.79999999999998,False,918.1630513477767,False,1.0340869910530233
85.0,0.5898652022719755,1101.5675700293298,1600.0141290506224,3.320566873037341,46.436399099209886,True,80.00070645253112,5.274953418697573,4.266545080965892,-0.046545080965891376,False,0.9876371048705638,0.3035934601376584,4.216716756526451,4.081266087811781,3.318839443455479,0.31483901828195265,0.31483901828195265,191.39999999999998,176.39999999999998,False,923.351608942996,False,1.04350314555054
86.0,0.6092348464997298,1101.6774403043662,1592.9175380924576,3.2389263923778,46.08273368521217,True,79.64587690462288,5.2984538108024255,4.290889423501771,-0.07088942350177117,False,0.9844763344431317,0.3033805670147091,4.249107692601565,4.0880356752874265,3.940083455920762,0.315798124820038,0.315798124820038,191.8,176.79999999999998,False,928.3032078094362,False,1.0515188709675705
87.0,0.629428502102482,1101.548521690538,1586.6961581750627,3.155949203912963,45.715157446835285,True,79.33480790875313,5.319228862132785,4.3107826690110365,-0.09078266901103686,False,0.9816444612977868,0.3031119082615063,4.281688022244198,4.093818101613358,4.589112558684549,0.3168239287726235,0.3168239287726235,192.39999999999998,177.39999999999998,False,933.1271078115229,False,1.059581465262656
88.0,0.6504998937103871,1101.4072253409527,1580.2397803339925,3.074423306591745,45.331604165697605,True,79.01198901669963,5.3409616091402015,4.3307181588597485,-0.11071815885974837,False,0.9785530483632078,0.3028705883432104,4.314582929094766,4.098974776421304,5.260050730580557,0.31776082055705873,0.31776082055705873,192.8,177.79999999999998,False,938.2799846048019,False,1.0677219074012063
89.0,0.6725075200917185,1101.2596509743144,1573.4965355617928,2.9947282306769876,44.931009014428845,True,78.67482677808965,5.3638503862270195,4.355796058276294,-0.13579605827629404,False,0.9751976595263034,0.30268501887688504,4.348287230535668,4.103945862740974,5.953815570839449,0.31859461273972184,0.31859461273972184,193.39999999999998,178.39999999999998,False,943.5997656043685,False,1.076062648931386
90.0,0.6955151965076987,1101.0983016029656,1566.5467859003963,2.9136196499711704,44.512210391874056,True,78.32733929501981,5.387646303298233,4.380237401864382,-0.16023740186438176,False,0.9716854626549213,0.3024532357867338,4.382803379222165,4.108228069451856,6.6835459260893515,0.31946785139296413,0.31946785139296413,194.0,179.0,False,948.869343453132,False,1.0846042968072844
91.0,0.7195926727217857,1100.92897331293,1559.2806261145931,2.8396702077988256,44.1520457729915,True,77.96403130572966,5.4127524312482125,4.400320671586304,-0.18032067158630424,False,0.9680265613280095,0.3021438059661715,4.413770715254327,4.112114716099017,7.335787544406802,0.3204524663605638,0.3204524663605638,194.39999999999998,179.39999999999998,False,953.6697696304548,False,1.0922677265382161
92.0,0.7448163392685788,1100.75158427569,1551.6685662008724,2.7644691844434663,43.809537792482,True,77.58342831004362,5.439305908390358,4.429978052379329,-0.20997805237932873,False,0.9639826986409556,0.3019016903629201,4.443616303270358,4.115113363096242,7.982840597298813,0.32126834986731334,0.32126834986731334,194.79999999999998,179.79999999999998,False,958.5049017381872,True,1.0996535593493315
93.0,0.7712700370462565,1100.505530214139,1544.8274614012175,2.690341948674269,43.45032742209304,True,77.24137307006087,5.4633932985270715,4.428151829060778,-0.20815182906077853,False,0.960384418449868,0.3016001737418656,4.474061389902269,4.117698801972281,8.654411239581172,0.3221685821777206,0.3221685821777206,195.2,180.2,False,963.1631876010612,True,1.1071877489810602
94.0,0.7990459883082759,1100.2338915896098,1537.9015945188103,2.617496241830104,43.07316239115529,True,76.89507972594052,5.487997431097512,4.479602514508685,-0.25960251450868593,False,0.9565716524314611,0.301349888045655,4.5047090869025945,4.119433783709735,9.352627652771783,0.32292781125739656,0.32292781125739656,195.79999999999998,180.79999999999998,False,967.8079209010888,True,1.114772078228269
95.0,0.8282458708366497,1099.942972686887,1530.7527365754966,2.543041807781901,42.80213936018223,True,76.53763682877482,5.513627249088859,4.477297618610019,-0.2572976186100192,False,0.9526522429776362,0.30101792817659934,4.530333393578707,4.120622539393658,9.942935812930287,0.3238037585486035,0.3238037585486035,196.0,180.99999999999997,False,972.1177947560207,True,1.1211132783047717
96.0,0.8589820616632995,1099.6447666990814,1523.9998962213513,2.463367383076453,42.58310749523153,True,76.19999481106757,5.538058119903011,4.529293647696024,-0.30929364769602397,False,0.9488128836888413,0.3007539349815523,4.553769992061337,4.121104099764113,10.498785806502408,0.32451353910955194,0.32451353910955194,196.2,181.2,False,976.4213089358691,True,1.126913090255569
97.0,0.8913790824048435,1099.3418570779957,1517.4839525390937,2.3820335876079657,42.352240244572926,True,75.8741976269547,5.561838058239741,4.519919392195942,-0.29991939219594244,False,0.9450481744771994,0.30049289432850534,4.577712570941723,4.121024777737546,11.081898746915586,0.32517864070847213,0.32517864070847213,196.4,181.39999999999998,False,980.7104550319374,True,1.1328381162454237
98.0,0.9255752853992184,1099.025506439645,1510.638488227162,2.3004038340267297,42.25552030445956,True,75.5319244113581,5.587041549500648,4.546465656061694,-0.3264656560616943,False,0.9410003170702264,0.30025899660188415,4.594678438609075,4.120399330130331,11.510513192509976,0.32576972769617896,0.32576972769617896,196.2,181.2,False,984.8402540561848,True,1.1370366283343551
99.0,0.9617248287865541,1098.691085359955,1503.402000328452,2.218489399511814,42.16887888022722,True,75.1701000164226,5.613934262529976,4.569512551403269,-0.34951255140326914,False,0.9365010268729076,0.30000445818537974,4.609623613070727,4.118189204568619,11.933264454117909,0.32624302897151614,0.32624302897151614,196.0,180.99999999999997,False,988.4524565003811,True,1.1407350831896397
100.0,1.0,1098.337,1495.74,2.1349352626214526,42.07714285714285,True,74.787,5.6426919116958825,4.599115798212862,-0.3791157982128623,False,0.9315551178411281,0.29982304518443387,4.623877586895816,4.114754393758809,12.373112570442512,0.32653821289798174,0.32653821289798174,195.79999999999998,180.79999999999998,False,992.2058472945316,True,1.1442624878937981
