height_mm,intensity_with_reverberation_w_m2_for_1Pa_aperture,single_pass_intensity_w_m2_for_1Pa_aperture,interference_gain,interference_gain_db,cavity_orders_retained,cavity_series_converged
2.104,0.00028579007294098443,0.00026243533747120483,1.0889923426274182,0.37024825975839104,19,True
2.1060000000000003,0.0002895485214871866,0.00026239591677477275,1.1034795245526638,0.4276427908689666,19,True
2.108,0.00029308266684880747,0.0002623565018928646,1.1171160795873476,0.4809830302157289,19,True
2.11,0.0002959380312952309,0.00026231709283037785,1.1281690724080773,0.5237418981712104,19,True
2.112,0.00029777432924844296,0.0002622776895931389,1.135339912862465,0.5512590574037456,19,True
2.114,0.00029831413699656816,0.000262238292187899,1.1375689435272103,0.5597772698724721,19,True
2.1159999999999997,0.00029732647052964307,0.000262198900622329,1.1339729870107724,0.5460270911430183,19,True
2.118,0.00029490743990554706,0.00026215951490501466,1.1249160268411298,0.5112010427789658,19,True
2.12,0.0002910740041388129,0.0002621201350454517,1.1104603012978786,0.45503037233483346,19,True
2.1220000000000003,0.0002859981399528697,0.00026208076105404063,1.0912595751120295,0.3792806738952464,19,True
2.124,0.00027991324040542784,0.00026204139294208167,1.0682023830765406,0.2865354251145314,19,True
2.126,0.00027309101781544567,0.00026200203072176953,1.042324050172924,0.18002758621166318,19,True
2.128,0.00026582076659428686,0.0002619626744061883,1.014727640862745,0.06349490581180917,19,True
2.13,0.0002583538911601084,0.0002618648304329207,0.9865925513288365,-0.058621677396746896,19,True
2.132,0.000251083321473039,0.00026182554700242456,0.9589718205409264,-0.18194154417852434,19,True
2.134,0.0002442632694999697,0.00026178626827447925,0.9330637206832524,-0.3008869645054302,19,True
2.1359999999999997,0.00023811949052859551,0.00026174699424269375,0.9097315184747045,-0.41086758501806475,19,True
2.1380000000000003,0.000232905389371722,0.0002617077249018518,0.8899446489746089,-0.506370039083835,19,True
2.14,0.0002288206803832104,0.0002616684602479097,0.8744679437728999,-0.582561062512971,19,True
2.142,0.00022603733924304314,0.0002616292002779938,0.8639606703031137,-0.6350602726544075,19,True
2.144,0.00022467414077911052,0.00026158994499039887,0.8588791162724421,-0.6606795704207138,19,True
2.146,0.00022479241949475206,0.00026155069438458476,0.8594602282501179,-0.6577421560421386,19,True
2.148,0.00022636001165383265,0.00026151144846117436,0.8655835642600538,-0.6269099856251974,19,True
2.15,0.00022932839411518265,0.00026147220722195043,0.8770660428950197,-0.569677031163175,19,True
2.1519999999999997,0.00023331404283117538,0.0002614246322796745,0.8924715348994883,-0.49405626681563924,19,True
2.154,0.000238063482922008,0.000261384613697848,0.9107784867444475,-0.4058723628978749,19,True
2.156,0.0002430462700892579,0.00026129809323106006,0.9301494208545086,-0.31447280005118916,19,True
2.1580000000000004,0.0002479838917991748,0.00026125805389746277,0.9491913764943768,-0.22646216048798146,19,True
2.16,0.0002525689758496233,0.00026121801882761196,0.9668895621488633,-0.14623128076638453,19,True
2.162,0.0002566853330804704,0.00026117798803033823,0.9827984931511689,-0.07535518061547777,19,True
2.164,0.0002603274070293524,0.00026113796151593826,0.9968960679562616,-0.013501169801258121,19,True
2.166,0.0002634278092656704,0.00026109793929617704,1.0089233564070779,0.038581759953439695,19,True
2.168,0.0002660989779805616,0.00026105792138428785,1.0193101077705016,0.08306330821623785,19,True
2.17,0.0002681836859444653,0.00026101790779497455,1.0274532050694367,0.11762051236268416,19,True
2.1719999999999997,0.000269613680565286,0.00026097789854441164,1.0330900895019843,0.1413819535078874,19,True
2.174,0.0002704498241578883,0.0002609378936502455,1.0364528523419154,0.1554955106716487,19,True
2.176,0.00027096390669015795,0.00026089789313159435,1.0385821956541688,0.1644087324129686,19,True
2.1780000000000004,0.00027153311910877446,0.0002608578970090494,1.0409235151479992,0.1741881964550375,19,True
2.18,0.00027254306114081136,0.000260822090828831,1.0449385643475746,0.1909075748136432,19,True
2.182,0.0002742822164372531,0.0002607818852083457,1.0517686695075525,0.21920229737903046,19,True
2.184,0.0002768414337736251,0.0002607416837501287,1.0617459770602882,0.2602062413050343,19,True
2.186,0.000280090370045146,0.0002607014864667077,1.0743719717183673,0.31154669907468546,19,True
2.1879999999999997,0.0002837228724845131,0.0002606612933720319,1.0884733548819092,0.368178022614579,19,True
2.19,0.0002873156486343384,0.00026062110448147436,1.1024266404133882,0.42349699524304996,19,True
2.1919999999999997,0.0002904102414126437,0.00026058091981183293,1.1144723935365286,0.47069315092396097,19,True
2.1940000000000004,0.00029265628865381035,0.00026054073938133065,1.123264980934421,0.5048221946961818,19,True
2.196,0.0002936441721254335,0.0002605005632096175,1.1272304693220425,0.5201271934862768,19,True
2.198,0.0002932539183094185,0.00026046039131777057,1.1259060036949677,0.5150213493756216,19,True
2.2,0.0002915785950019114,0.0002605032558980842,1.119289638038093,0.489424832443581,19,True
2.202,0.0002883563997418589,0.0002604628539286336,1.107092222144153,0.4418379965026406,19,True
2.204,0.00028391173984639923,0.0002604224550243353,1.0901968488848974,0.3750492240468595,19,True
2.206,0.0002785083960691443,0.00026044611755097363,1.06935130647373,0.29120404365748664,19,True
2.2079999999999997,0.00027224186185716766,0.0002604054677773098,1.0454537079458714,0.1930480728399926,19,True
2.21,0.0002655908891904254,0.0002603648198058388,1.0200721026307773,0.08630870455997977,19,True
2.212,0.00025871916899142434,0.00026032417368919756,0.9938345921739506,-0.02685890938436912,19,True
2.214,0.0002519148892663538,0.0002602835294814269,0.9678479839590839,-0.1419285024551904,19,True
2.216,0.00024543887248615673,0.0002602428872379667,0.9431146230011154,-0.2543552135418249,19,True
2.218,0.00023954667134314868,0.00026020224701565117,0.9206172279086428,-0.35920902225391266,19,True
2.22,0.0002345441384658822,0.00026024605459081706,0.9012399393898756,-0.4515957030785298,19,True
2.222,0.00023054415716941963,0.0002602055028655233,0.8860079999482834,-0.5256235676113242,19,True
2.2239999999999998,0.0002277598473242676,0.0002601649535407724,0.8754439989880253,-0.577716299441606,19,True
2.226,0.00022638425236315944,0.00026012440664635475,0.8702922393242943,-0.6033488920393143,19,True
2.2279999999999998,0.00022640125400646174,0.0002600838622133295,0.8704932788977112,-0.6023457773321507,19,True
2.2300000000000004,0.0002278625418591044,0.00026004332027402215,0.8762483943790323,-0.5737276481754188,19,True
2.232,0.00023060702544720182,0.0002600027808620241,0.8869406114912989,-0.5210545904663054,19,True
2.234,0.00023431778484106426,0.0002599622440121898,0.901353139689304,-0.4510502414762774,19,True
2.236,0.0002386658069546879,0.0002599217097606364,0.9182219029509955,-0.37052351934513494,19,True
2.238,0.00024331133061309283,0.000259945346207352,0.9360095657146691,-0.2871971289024073,19,True
2.2399999999999998,0.0002477281069331583,0.0002599048547402091,0.9531492098551902,-0.20839107814577457,19,True
2.242,0.0002518540436105482,0.00025986436682337084,0.9691749842014037,-0.13597804154321105,19,True
2.2439999999999998,0.00025554723311390336,0.0002598238824846611,0.9835401991154135,-0.07207884959468104,19,True
2.246,0.0002587874821242293,0.00025978340175298394,0.9961663461867297,-0.01668134268239319,19,True
2.248,0.0002615942399166793,0.0002597584076189526,1.0070674605474936,0.03058563664059947,19,True
2.2500000000000004,0.00026391237854732694,0.0002597178188134573,1.016150450335032,0.06958013964626247,19,True
2.2520000000000002,0.0002656252437312277,0.00025967723451708494,1.0229053934019443,0.0983546848883261,19,True
2.254,0.0002667617397618007,0.00025963665476961287,1.0274425234700018,0.11757536204553554,19,True
2.2560000000000002,0.0002673615046781875,0.0002596582561094486,1.0296668732362275,0.12696740709024917,19,True
2.258,0.00026761554387140263,0.00025961769772120836,1.0308062440287982,0.13177040591943162,19,True
2.26,0.0002679876677428402,0.0002596608424795876,1.032068082286636,0.13708347277756278,18,True
2.262,0.00026872562332643256,0.00025962023613886813,1.0350719470985075,0.14970538335829595,18,True
2.264,0.0002701750184608929,0.00025957963057726387,1.0408174857945,0.17374579787458574,18,True
2.266,0.0002724755923214691,0.0002595390258305646,1.049844397964836,0.21124935152846083,18,True
2.2680000000000002,0.00027550873997729964,0.00025949842193592743,1.0616971691848103,0.26000659394424025,18,True
2.27,0.00027908958783509283,0.0002595161536654497,1.0754227969750039,0.3157923847875179,18,True
2.2720000000000002,0.00028262172276842556,0.0002594755475208301,1.0892036859301253,0.37109102348798717,18,True
2.274,0.00028576849611869934,0.0002594349424127995,1.1015034962561028,0.41985879972780965,18,True
2.2760000000000002,0.0002881720985217574,0.00025939433836235455,1.110942129042163,0.45691436355582227,18,True
2.278,0.0002894882135298918,0.00025935373539172384,1.1161906463103504,0.4773837880345019,18,True
2.28,0.00028953909712309,0.00025931313352437054,1.116561638000795,0.47882702602025584,18,True
2.282,0.0002883202353346404,0.00025929482265868437,1.1119398080468534,0.4608127848647752,18,True
2.284,0.00028567367427563653,0.00025925426186400503,1.1019054121682679,0.4214431617053884,18,True
2.286,0.00028184881187262616,0.00025921370240532385,1.0873221949968854,0.363582531714433,18,True
2.2880000000000003,0.0002770176981842482,0.00025917314429298237,1.0688518632590014,0.2891751865386142,18,True
2.29,0.0002713659321935637,0.0002591325875384039,1.0472088237584043,0.20033292913822334,18,True
2.2920000000000003,0.00026517434057403655,0.0002590920321540977,1.0234754746001657,0.10077440185206808,18,True
2.294,0.0002587752516644869,0.0002590332464321753,0.9990040090558184,-0.0043276892384151765,18,True
2.296,0.0002524329808688536,0.0002589927542024371,0.9746719812537452,-0.11141518352906835,18,True
2.298,0.00024637510809341607,0.0002589522648230361,0.9514305976886702,-0.21622885926763688,18,True
2.3,0.00024081365792326588,0.0002589117783095331,0.9300992774278865,-0.3147069301813281,18,True
2.302,0.00023603230322423932,0.0002588712946783233,0.911774723874024,-0.40112451434549357,18,True
2.3040000000000003,0.00023218417829909432,0.0002588127758883885,0.8971125073022762,-0.47153088464754145,18,True
2.306,0.00022949962662836528,0.00025877238425919255,0.88687835560727,-0.5213594399172623,18,True
2.3080000000000003,0.00022810276776313697,0.00025873199751711513,0.8816179287915402,-0.547195864867777,18,True
2.31,0.0002280925277314902,0.00025872639070244964,0.8815974555676844,-0.5472967193433744,18,True
2.312,0.0002293647980157934,0.0002586600117070138,0.8867423940102371,-0.5220252797984267,18,True
2.314,0.00023189698798053323,0.00025862050682502643,0.8966689874187997,-0.47367850677989454,18,True
2.316,0.00023531917119417583,0.0002585810041614139,0.9100404415139585,-0.40939307529355595,18,True
2.318,0.00023922578273081322,0.000258534007343132,0.9253164997102586,-0.33709693674717256,18,True
2.32,0.00024332552995968163,0.0002584948136988901,0.9413168739358981,-0.2626415613023943,18,True
2.322,0.0002473106016714282,0.00025853079744156334,0.9566001579650437,-0.19269551748247465,18,True
2.3240000000000003,0.00025092409732745005,0.0002584499713198646,0.9708807319498584,-0.12834117813363172,18,True
2.326,0.0002542221686089723,0.0002584350432659471,0.9836985162548584,-0.07137983671268691,18,True
2.3280000000000003,0.0002571078090252394,0.00025839632496966504,0.9950134122666918,-0.02171065149595395,18,True
2.33,0.00025962975702053696,0.0002583576077036267,1.004923986284815,0.021332124176323325,18,True
2.332,0.00026173757816911806,0.0002583188914499171,1.0132343658646576,0.05709911331972478,18,True
2.334,0.0002632310968561006,0.000258280176191257,1.0191687985421594,0.08246119437518426,18,True
2.336,0.00026409917302724944,0.00025824146191100704,1.0226830775851983,0.09741069704128706,18,True
2.3379999999999996,0.0002644347256676967,0.00025820274859317125,1.0241359827053764,0.10357625211786382,18,True
2.34,0.0002645120910738232,0.00025816403622240064,1.0245892299497281,0.10549786443712787,18,True
2.342,0.0002646695035781446,0.0002581253247839973,1.0253527188764744,0.1087328735397186,18,True
2.3440000000000003,0.0002652926337579578,0.0002580866142639172,1.0279209346621587,0.11959711001195678,18,True
2.346,0.0002665990826192076,0.0002580479046487749,1.0331379477080878,0.1415831370602729,18,True
2.3480000000000003,0.0002686892317395131,0.00025800919592584593,1.0413940122379852,0.17615076259322165,18,True
2.35,0.0002714819876985452,0.0002579704880830713,1.0523761447128128,0.22170994927717444,18,True
2.352,0.00027479631411737675,0.00025793178110906017,1.0653836953934182,0.27506046067309486,18,True
2.354,0.00027823807541727495,0.00025789307499309353,1.0788892855099979,0.3297688012397827,18,True
2.356,0.0002813857513239255,0.00025785436972512786,1.0912584170044588,0.379276064909394,18,True
