dmso_percent,basis,temperature_c,transducer_diameter_mm,transducer_focal_length_mm,dmso_mole_fraction,density_kg_m3,sound_speed_m_s,focus_from_plate_exit_mm,focus_from_aperture_mm,distance_focus_to_mixture_top_mm,focus_scan_boundary_limited,focus_inside_mixture,peak_for_1Pa_aperture_pa,reference_concentration_percent,peak_relative_to_max_sweep_concentration
90.0,volume,22.0,13.0,25.4,0.6955151965076987,1101.0983016029656,1566.5467859003966,3.499419749020244,24.279419749020246,0.7205802509797556,False,True,34.34672140258212,100.0,1.0330473444050738
91.0,volume,22.0,13.0,25.4,0.7195926727217857,1100.92897331293,1559.2806261145934,3.5190294644371445,24.299029464437147,0.7009705355628553,False,True,34.23762188792634,100.0,1.0297659551111729
92.0,volume,22.0,13.0,25.4,0.7448163392685788,1100.7515842756898,1551.6685662008724,3.5406256864125565,24.32062568641256,0.6793743135874433,False,True,34.12281435092273,100.0,1.0263128854621335
93.0,volume,22.0,13.0,25.4,0.7712700370462565,1100.5055302141388,1544.8274614012175,3.559889029607105,24.339889029607107,0.6601109703928949,False,True,34.01778673260918,100.0,1.0231539667136371
94.0,volume,22.0,13.0,25.4,0.7990459883082759,1100.2338915896098,1537.9015945188103,3.5792583743425714,24.359258374342573,0.6407416256574283,False,True,33.91062641909851,100.0,1.0199309028293069
95.0,volume,22.0,13.0,25.4,0.8282458708366497,1099.9429726868868,1530.7527365754966,3.5988058336974067,24.378805833697406,0.621194166302593,False,True,33.79939932023781,100.0,1.016585522123034
96.0,volume,22.0,13.0,25.4,0.8589820616632995,1099.6447666990816,1523.9998962213513,3.59219811705214,24.372198117052143,0.6278018829478595,False,True,33.69369363129445,100.0,1.0134062090243685
97.0,volume,22.0,13.0,25.4,0.8913790824048435,1099.3418570779957,1517.4839525390935,3.61194682287705,24.391946822877053,0.6080531771229496,False,True,33.59163623374543,100.0,1.0103366256926978
98.0,volume,22.0,13.0,25.4,0.9255752853992184,1099.025506439645,1510.638488227162,3.6317722190845467,24.411772219084547,0.588227780915453,False,True,33.48387638216029,100.0,1.0070955294841626
99.0,volume,22.0,13.0,25.4,0.9617248287865541,1098.6910853599552,1503.402000328452,3.6516855158331913,24.43168551583319,0.5683144841668084,False,True,33.369370485509954,100.0,1.003651532280853
100.0,volume,22.0,13.0,25.4,1.0,1098.337,1495.74,3.670635036459924,24.450635036459925,0.5493649635400759,False,True,33.24796446997519,100.0,1.0
